gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.01Cg122800.v2.1	39.543	no	no	no	yes
SoffiXsponR570.02Ag135400.v2.1	39.518	no	no	no	yes
SoffiXsponR570.02Fg111700.v2.1	39.471	no	no	no	yes
SoffiXsponR570.10Eg096100.v2.1	39.357	no	no	no	yes
SoffiXsponR570.05Eg005900.v2.1	39.315	no	no	no	yes
SoffiXsponR570.02Gg032200.v2.1	39.271	no	no	no	yes
SoffiXsponR570.03Dg288500.v2.1	39.175	no	no	no	yes
SoffiXsponR570.03Eg252600.v2.1	39.113	no	no	no	yes
SoffiXsponR570.03Bg055300.v2.1	39.084	no	no	no	yes
SoffiXsponR570.01Ag532200.v2.1	39.027	no	no	no	yes
SoffiXsponR570.01Ag106800.v2.1	38.99	no	no	no	yes
SoffiXsponR570.03Bg181100.v2.1	38.971	no	no	no	yes
SoffiXsponR570.8_10Ag011100.v2.1	38.884	no	no	no	yes
SoffiXsponR570.08Eg084700.v2.1	38.819	no	no	no	yes
SoffiXsponR570.04Dg044500.v2.1	38.784	no	no	no	yes
SoffiXsponR570.07Eg226200.v2.1	38.726	no	no	no	yes
SoffiXsponR570.02Bg133500.v2.1	38.701	no	no	no	yes
SoffiXsponR570.1Z198800.v2.1	38.699	no	no	no	yes
SoffiXsponR570.02Ag428900.v2.1	38.557	no	no	no	yes
SoffiXsponR570.02Bg300400.v2.1	38.511	no	no	no	yes
SoffiXsponR570.02Ag329900.v2.1	38.411	no	no	no	yes
SoffiXsponR570.03Eg123200.v2.1	38.399	no	no	no	yes
SoffiXsponR570.01Cg367300.v2.1	38.354	no	no	no	yes
SoffiXsponR570.05Fg027100.v2.1	37.979	no	no	no	yes
SoffiXsponR570.09Cg088700.v2.1	37.848	no	no	no	yes
SoffiXsponR570.02Cg211000.v2.1	37.665	no	no	no	yes
SoffiXsponR570.04Fg158400.v2.1	37.601	no	no	no	yes
SoffiXsponR570.01Bg255600.v2.1	37.544	no	no	no	yes
SoffiXsponR570.02Fg212200.v2.1	37.522	no	no	no	yes
SoffiXsponR570.03Bg034000.v2.1	37.51	no	no	no	yes
SoffiXsponR570.05Cg276500.v2.1	37.493	no	no	no	yes
SoffiXsponR570.05Dg072900.v2.1	37.314	no	no	no	yes
SoffiXsponR570.07Dg169200.v2.1	37.31	no	no	no	yes
SoffiXsponR570.02Fg008600.v2.1	37.274	no	no	no	yes
SoffiXsponR570.08Cg103400.v2.1	37.255	no	no	no	yes
SoffiXsponR570.05Fg209700.v2.1	37.041	no	no	no	yes
SoffiXsponR570.04Dg016300.v2.1	37.003	no	no	no	yes
SoffiXsponR570.01Dg132700.v2.1	36.944	no	no	no	yes
SoffiXsponR570.03Eg173200.v2.1	36.922	no	no	no	yes
SoffiXsponR570.01Dg361800.v2.1	36.884	no	no	no	yes
SoffiXsponR570.5_9Ag036200.v2.1	36.861	no	no	no	yes
SoffiXsponR570.10Dg152200.v2.1	36.807	no	no	no	yes
SoffiXsponR570.01Cg084400.v2.1	36.747	no	no	no	yes
