run	bioproject	genotype_clean	organism_sra	species_group	divergence_tier	tissue	instrument	lib_type	qc_flags	qc_pass	percent_mapped	num_mapped	genes_detected_gt0	genes_detected_ge1	tx_detected_gt0	pct_decoy	reads_raw	fastqc_raw_avg_read_length
ERR5902922	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	73.70940417195845	26473247	106303	57650	131985	10.1921	71907586	101.0
ERR5902818	PRJEB44480	Q151	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	67.16218259967005	27231232	106291	53787	131395	11.8409	81447428	101.0
ERR5902783	PRJEB44480	Q253	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.37861411938384	23579514	107972	54367	131835	14.7747	73382734	101.0
ERR5902781	PRJEB44480	Q240	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.88116057300103	22581615	106943	56447	130792	14.2648	75602304	101.0
ERR5914380	PRJEB44480	SRA5	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	55.181401936281716	17161826	106209	53659	126085	16.9269	62370014	101.0
ERR5914325	PRJEB44480	SRA1	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	61.77326043835328	19221705	108161	56745	130856	15.3679	62654368	101.0
ERR5914043	PRJEB44480	Q240	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	57.36079527251148	19595927	104221	53345	125970	15.8756	68533966	101.0
ERR5914030	PRJEB44480	Q186	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	51.99917463273673	20457768	111652	52337	133806	18.4143	78870528	101.0
ERR5909881	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.49978235932912	23759105	109801	57321	134727	13.4908	73840314	101.0
ERR5908732	PRJEB44480	Q138	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	61.69038680642143	21276036	108448	58666	132442	13.1919	69518996	101.0
ERR5908673	PRJEB44480	KQB09-20432	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	63.412565391817296	24908547	108634	53669	131371	15.125	79095960	101.0
ERR5906716	PRJEB44480	Q155	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.80437828661093	26746678	110917	57821	137147	13.4991	82714180	101.0
ERR5906605	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.451101052802414	19912572	109175	55219	131834	16.0009	67186114	101.0
ERR5900056	PRJEB44480	SRA5	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	65.17535254513403	23995648	111675	57557	136820	13.0861	74020306	101.0
ERR5890966	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	65.3560956345673	26601606	109200	56576	135303	12.9762	81557248	101.0
ERR5890843	PRJEB44480	Q200	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.108690072463766	19927305	114006	61202	138421	16.057	67531412	101.0
ERR5906601	PRJEB44480	KQB09-20432	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.27802583274433	20206221	111601	56275	133574	17.5904	68393442	101.0
